"id.individual","choice.card","version","Block","Sum","Sum.1","infmortality.1","reducedvis.1","morbidity.1","cost.1","infmortality.2","reducedvis.2","morbidity.2","cost.2","infmortality.3","reducedvis.3","morbidity.3","cost.3","infmortality.4","reducedvis.4","morbidity.4","cost.4","Q12.choice","Q17.gender.female","Q18.age","Q19.educ","Q22.income"
11,5,2.3,2,7,7,4,15,6,60,12,10,4,30,8,15,4,15,15,25,10,0,1,0,30,3,2
12,1,2.1,2,3,3,12,20,4,45,8,10,8,15,8,20,6,45,15,25,10,0,3,0,21,3,1
12,2,2.1,2,4,4,8,20,4,15,4,10,8,60,8,15,6,15,15,25,10,0,1,0,21,3,1
12,3,2.1,2,5,5,4,10,8,15,8,20,6,60,12,20,4,30,15,25,10,0,1,0,21,3,1
12,4,2.1,2,6,6,12,10,4,30,4,20,6,15,4,10,8,60,15,25,10,0,2,0,21,3,1
12,5,2.1,2,7,7,4,15,6,60,12,10,4,30,8,15,4,15,15,25,10,0,3,0,21,3,1
13,1,1.5,1,2,2,8,10,6,60,4,15,8,15,8,20,4,30,15,25,10,0,3,0,21,2,2
13,2,1.5,1,3,3,12,15,6,45,12,10,8,45,4,15,8,15,15,25,10,0,1,0,21,2,2
13,3,1.5,1,4,4,4,20,8,30,8,15,4,30,12,10,4,45,15,25,10,0,1,0,21,2,2
13,4,1.5,1,5,5,8,15,6,15,12,10,4,30,8,20,4,60,15,25,10,0,3,0,21,2,2
13,5,1.5,1,6,6,8,15,8,30,4,20,4,45,12,15,6,30,15,25,10,0,2,0,21,2,2
14,1,2.1,2,3,3,12,20,4,45,8,10,8,15,8,20,6,45,15,25,10,0,2,0,37,3,2
14,2,2.1,2,4,4,8,20,4,15,4,10,8,60,8,15,6,15,15,25,10,0,1,0,37,3,2
14,3,2.1,2,5,5,4,10,8,15,8,20,6,60,12,20,4,30,15,25,10,0,3,0,37,3,2
